ticker,company_name,status,sector,industry,last_date,last_close,pe_ratio,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
AAMI,Acadian Asset Management Inc.,ok,Financials,Asset Management & Custody Banks,2026-01-02,47.380001068115234,19.991562,2825,False,False,0.8085129108834854,-1.4354038508206601,-2.1276570595815336,8.56730453964294,2.530569595059662,79.87941354457458,36.47745002503414,30.238105288556746,25.1073374011714,18.334627969708063,269.693893519387,38.4247669615139,36.40415887524678,51.24897003173828,22.943349838256836,-7.549359452935366,106.50864586962608,234600.0,-32.18243819266837
AAP,"Advance Auto Parts, Inc.",ok,Consumer Discretionary,Automotive Retail,2026-01-02,38.88999938964844,14.54789,6062,False,False,-1.0432566294440893,-2.457987380211857,-5.423150778603669,-26.190927304494593,-37.10302561643296,-13.62734108210375,47.79551839638516,52.19960245697446,109.25319460243176,78.6828650842992,232.11241246026657,37.57685187684076,15.542514858861793,66.16961669921875,29.799514770507812,-41.226802678293886,30.505478660133612,1944995.0,34.31911136018344
AAT,American Assets Trust,ok,Real Estate,Diversified REITs,2026-01-02,18.780000686645508,18.411766,3765,False,False,-0.7923909990073308,-1.5723230516778486,-0.3184685002995624,-1.68077145332709,-5.753173609741125,-22.832496200455445,19.585222821786584,20.763150383890505,22.561913756807897,23.310528724285394,52.39554344063488,28.33955476548782,37.142875827109016,24.626726150512695,16.430906295776367,-23.741383357793445,14.296803527343984,458820.0,-48.49832178196243
ABCB,Ameris Bancorp,ok,Financials,Regional Banks,2026-01-02,73.9800033569336,12.821491,7960,False,False,-0.39045819205633103,-2.2183206071460737,-3.1503021488258343,-1.778096066294954,1.3626406387722279,19.599698309063008,66.31439780429065,60.23932177503825,50.334695191899684,20.494510746691095,2481.7465938950413,43.90611924656802,19.903301878812698,78.45091247558594,50.263916015625,-5.698989313914861,47.18312702483474,463200.0,-29.12348877374784
ABG,Asbury Automotive Group,ok,Consumer Discretionary,Automotive Retail,2026-01-02,234.75999450683594,8.237193,5986,False,False,0.9590142085949216,-2.1058350790917,-2.5447319931687917,1.8569936040594426,-6.663489774542786,-3.3750460900704438,242.04103574714813,236.10174927607207,208.5258440880259,74.21587883326826,1572.7490867834963,50.71113348755665,26.441475983946788,305.8599853515625,210.85000610351562,-23.24592763025297,11.339809206162336,189655.0,45.211041100946446
ABM,"ABM Industries, Inc.",ok,Industrials,Environmental & Facilities Services,2026-01-02,42.68000030517578,16.478765,11544,False,False,0.8983476949623759,-0.5128233400421012,1.2093956802825767,-1.2494236470976139,-8.096465186738222,-15.103989457035505,47.29103243398476,47.49348696183495,44.13562060009902,14.291470302949122,12455.627575712784,30.144614533230435,33.87097044841687,53.74130630493164,40.310001373291016,-20.58250303219891,5.879431533473234,878350.0,-35.424375249046506
ABR,Arbor Realty Trust,ok,Financials,Mortgage REITs,2026-01-02,7.949999809265137,10.063291,5470,False,False,2.448448128598546,1.5325656031716095,0.25220657452023065,-10.874442362469361,-33.85647957719837,-34.39093411735114,10.495721427567927,11.022617807445185,10.627745342862074,4.982011796678442,134.47914176176238,51.474597757532656,23.11555850337332,12.36487865447998,7.699999809265137,-35.704991278788384,3.246753327177799,3394355.0,-25.178715838502452
ACA,"Arcosa, Inc.",ok,Industrials,Construction & Engineering,2026-01-02,106.79000091552734,35.360928,1799,False,False,0.44206284993622,-2.296433729321934,-3.6886692272753874,0.6598214740315855,15.523237560674307,10.046832005521056,92.38756369784534,90.17595816701355,71.87509910316224,61.555016977247625,276.189525928512,39.89115539711568,29.70493033494259,112.9800033569336,70.53722381591797,-5.478847811546263,51.39524231095171,211760.0,2.427276161692471
ACAD,Acadia Pharmaceuticals,ok,Health Care,Pharmaceuticals,2026-01-02,26.290000915527344,16.961292,5435,False,False,-1.572437975819585,-3.558324670616775,-5.669177883489129,3.3818348408612753,22.96539732223586,57.519473183239064,21.16203187281392,19.762087495853127,21.514769127414485,18.14173505192189,292.3880845365406,86.48304880223925,45.962737579522255,28.059999465942383,14.100000381469727,-6.307906571998911,86.45390215788761,1440490.0,15.66897375198717
ACHC,Acadia Healthcare,ok,Health Care,Health Care Facilities,2026-01-02,14.289999961853027,12.318966,8012,False,False,0.7047243440934992,-1.4482761251515375,-0.06993166956958952,-13.341418070353061,-46.31855931126804,-62.96008480136879,25.53147408306836,46.329085501714445,59.97664816136573,26.40400680320833,-40.45833349227905,75.83585433882021,46.7741935483871,45.40999984741211,13.75,-68.53116051558982,3.9272724498401987,2775215.0,-25.55171401134687
