ticker,company_name,status,sector,industry,last_date,last_close,pe_ratio,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg,high_52w,low_52w
MMM,3M,ok,Industrials,Industrial Conglomerates,2026-06-18,161.3800048828125,,753,False,False,1.3502538547776943,1.9907787652965192,2.197454968165369,8.606468575883541,13.6673114427587,15.602816956522636,155.07653754098075,142.73631399086273,122.0510628080938,122.0510628080938,107.0329379925956,30.01624889320407,70.49173617617363,-6.682034663756829,15.359456913305014,3686988.15,-57.70360693998976,172.9356231689453,139.89317321777344
AOS,A. O. Smith,ok,Industrials,Building Products,2026-06-18,59.52000045776367,,753,False,False,2.8334474073668847,-0.8330556417637025,1.4660767347231873,6.380696418486798,-7.2538055942985125,-3.88658220599567,67.28999965909928,69.32228940986542,70.87002721029133,70.87002721029133,-10.206822039194796,24.550751690223642,60.385754199350764,-25.614024264719838,6.704915310709766,1567485.95,-62.03991493512271,80.01508331298828,55.779998779296875
ABT,Abbott Laboratories,ok,Health Care,Health Care Equipment,2026-06-18,88.93000030517578,,753,False,False,0.4858760510460858,0.2932244745681434,-0.8031246050735241,0.12384666823859192,-16.51467929235143,-31.398032594229008,115.99389061095222,116.29162848423202,111.31432195615325,111.31432195615325,-11.487757329431869,21.333784439915746,59.552496601134735,-34.27963838285585,7.715604330125093,11863130.65,-61.039685590919454,135.3157501220703,82.55999755859375
ABBV,AbbVie,ok,Health Care,Biotechnology,2026-06-18,216.30999755859375,,753,False,False,-2.2239290620448493,-2.3827784947681896,-3.763850403994373,1.192928105018387,5.757912488431871,20.421056422879037,212.3049490186903,195.40227037407013,178.17585998575683,178.17585998575683,74.7691068020198,23.89962995154932,48.33686696159564,-9.385245909498463,22.514927520825935,5137633.75,-38.64733935150594,238.71388244628906,176.55807495117188
ACN,Accenture,ok,Information Technology,IT Consulting & Other Services,2026-06-18,128.1649932861328,,753,False,False,-17.848216268915408,-22.49335219335403,-23.492723246544113,-27.50848921161342,-36.50116823224756,-58.36993066926139,233.99374425978888,281.64241927553456,292.6508805273697,292.6508805273697,-57.705548085258606,30.674102387746576,16.00784169110591,-57.60222329076471,0.0,5680778.5,221.67369313906536,302.2917785644531,128.1649932861328
ADBE,Adobe Inc.,ok,Information Technology,Application Software,2026-06-18,193.52499389648438,,753,False,False,-1.4036095883158795,-6.219716357775273,-11.551649361400862,-24.104870886136542,-21.328107006419682,-49.42902749022342,309.42601158505397,389.6079377558127,438.9511747524874,438.9511747524874,-60.16856713226713,34.37512137151504,19.099610681102774,-50.643970700323536,0.0,7556923.75,-19.938652285594383,392.1000061035156,193.52499389648438
AMD,Advanced Micro Devices,ok,Information Technology,Semiconductors,2026-06-18,533.3200073242188,,753,False,False,4.066505551379196,-2.5472357184250227,9.18620001961823,28.805705361084755,159.81390179946962,319.60661976940014,239.96972235422285,185.27529902667163,169.71885790577923,169.71885790577923,348.4318556762073,56.20957152785569,52.55308270622261,-2.5472357184250196,320.6325447379231,30628688.2,-42.51479565487888,547.260009765625,126.79000091552734
AES,AES Corporation,ok,Utilities,Independent Power Producers & Energy Traders,2026-06-18,14.625,,753,False,False,0.10267175684632868,-0.37466147161039354,-0.3067489847301541,0.37749009147418633,4.631295921191181,46.029335515856864,13.662196269111028,13.292505934893848,14.11737626418966,14.11737626418966,-19.707341745111496,41.60626519577781,44.57829110346127,-14.321027301309336,51.4964391665012,8099950.5,-73.49477629523786,17.06953239440918,9.653692245483398
AFL,Aflac,ok,Financials,Life & Health Insurance,2026-06-18,114.87000274658203,,753,False,False,-1.178591829288489,-1.786932587423462,-1.3568005522253568,-2.4872667481073196,7.739880191392645,14.918671687815777,108.59469822474888,105.12094409532281,95.33712677366705,95.33712677366705,80.68576205544527,19.586168493620445,57.14286349803171,-2.850131239912781,19.60492399616406,2845519.05,-63.234089049588334,118.23999786376953,96.04119873046875
A,Agilent Technologies,ok,Health Care,Life Sciences Tools & Services,2026-06-18,126.54499816894531,,753,False,False,1.7815461314803605,-3.097479349397647,-2.3195714488805863,14.447859743341285,13.497760701247774,9.900685569591005,127.49916197761657,128.22368082297277,127.48325971018271,127.48325971018271,9.568732761914521,30.062980861511253,34.30016066685545,-19.172753053053043,15.052382405083293,2613353.25,-66.45822756644169,156.5623016357422,109.98902893066406
