Symbol,Company,GICS Sector,GICS Sub-Industry,Source Index
MMM,3M,Industrials,Industrial Conglomerates,"S&P 500, Dow 30"
AOS,A. O. Smith,Industrials,Building Products,S&P 500
ABT,Abbott Laboratories,Health Care,Health Care Equipment,S&P 500
ABBV,AbbVie,Health Care,Biotechnology,S&P 500
ACN,Accenture,Information Technology,IT Consulting & Other Services,S&P 500
ADBE,Adobe Inc.,Information Technology,Application Software,S&P 500
AMD,Advanced Micro Devices,Information Technology,Semiconductors,S&P 500
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,S&P 500
AFL,Aflac,Financials,Life & Health Insurance,S&P 500
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,S&P 500
APD,Air Products,Materials,Industrial Gases,S&P 500
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,S&P 500
ALB,Albemarle Corporation,Materials,Specialty Chemicals,S&P 500
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,S&P 500
ALGN,Align Technology,Health Care,Health Care Supplies,S&P 500
ALLE,Allegion,Industrials,Building Products,S&P 500
LNT,Alliant Energy,Utilities,Electric Utilities,S&P 500
ALL,Allstate,Financials,Property & Casualty Insurance,S&P 500
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,S&P 500
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,S&P 500
MO,Altria,Consumer Staples,Tobacco,S&P 500
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"S&P 500, Dow 30"
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,S&P 500
AEE,Ameren,Utilities,Multi-Utilities,S&P 500
AEP,American Electric Power,Utilities,Electric Utilities,S&P 500
AXP,American Express,Financials,Consumer Finance,"S&P 500, Dow 30"
AIG,American International Group,Financials,Multi-line Insurance,S&P 500
AMT,American Tower,Real Estate,Telecom Tower REITs,S&P 500
AWK,American Water Works,Utilities,Water Utilities,S&P 500
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,S&P 500
AME,Ametek,Industrials,Electrical Components & Equipment,S&P 500
AMGN,Amgen,Health Care,Biotechnology,"S&P 500, Dow 30"
APH,Amphenol,Information Technology,Electronic Components,S&P 500
ADI,Analog Devices,Information Technology,Semiconductors,S&P 500
AON,Aon plc,Financials,Insurance Brokers,S&P 500
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,S&P 500
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,S&P 500
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","S&P 500, Dow 30"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,S&P 500
APP,AppLovin,Information Technology,Application Software,S&P 500
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,S&P 500
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500
ANET,Arista Networks,Information Technology,Communications Equipment,S&P 500
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,S&P 500
AIZ,Assurant,Financials,Multi-line Insurance,S&P 500
T,AT&T,Communication Services,Integrated Telecommunication Services,S&P 500
ATO,Atmos Energy,Utilities,Gas Utilities,S&P 500
ADSK,Autodesk,Information Technology,Application Software,S&P 500
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,S&P 500
AZO,AutoZone,Consumer Discretionary,Automotive Retail,S&P 500
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,S&P 500
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,S&P 500
AXON,Axon Enterprise,Industrials,Aerospace & Defense,S&P 500
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,S&P 500
